UniRef50_Q96AZ6	A0A024RC76; K7CFV6; Q96AZ6; G3R4B5
UniRef50_H7C493	H7C493
UniRef50_H0YIA9	H0YIA9
UniRef50_Q9Y312	A2A2Q9; Q9Y312
UniRef50_V9GYL8	A0A087WX52; V9GYL8
UniRef50_Q9NS84	Q9NS84
UniRef50_Q4KWH8-2	
UniRef50_H0YA59	H0YA59
UniRef50_Q9CR27	F5GXZ7
UniRef50_A6NP16	A6NP16
UniRef50_F8WCB9	F8WCB9
UniRef50_Q9Y297	F6VDZ9; G1LXB0; B4DH70; F7EKJ0; UPI000383BD8B; F1PBF1; B7Z3H4; B2R8L3; G1P6Q6; UPI0005F3F125; UPI00045DE244; G3SY84; Q86WI5; UPI0003C45381; Q86WI4; A0A096NEX0; J9P544; A0A096P6B6; F7GX60; UPI000572C0EA; UPI00005C020D; F7GX48; UPI0005F49CA0; Q9Y297; G3RQD0; Q5T1W7; G7N0Y9; A0A0D9QZP9; W5P0D2; M1EQM5; G1THI9; H9FRX5; G7P6W4; U6CXQ6; UPI0003C4AC1D; A0A0D9RBA2; A0A091EFH8; UPI0003AF5C11; UPI000572B8ED; E5RGC1; F7FVG4; Q9UKB1; Q68DS0; G3QXZ2; G7PDT0
UniRef50_V9LI90	V9GYQ3; A7YDK4
UniRef50_P04440	G9HRM6; O78167; Q67AR2; Q30037; Q49U38; Q9BCT0; V5JAQ3; A0A0A7CA09; A0A0A7C5T3; A0A0E3DDJ3; A0A0D6K9L5; A0A0A7C777; B2CR04; A0A0A7C5A9; A0A0A1TSH5; A0A0A7C715; A0A0A7C8J3; A0A0A7CA84; T1R376; A0A0A7C5T8; Q9BCS5; A0A0A7C5Z0; Q67AP7; A0A0A7CA32; K0JBZ5; Q30158; A0A0A7C5T0; A0A0A7C6N3; Q49U70; Q15BP8; A0A0A7C9J9; I4EC16; A0A0A7C8D3; Q67AP0; A0A0A7C5B7; Q9BCS9; A0A0A7C9G0; Q30178; Q95HA4; A0A0A7C5A7; A0A0A7C8X3; Q30047; Q14465; S0F3B5; A0A0D6K947; A1A424; Q67AQ9; A0A0E3DDW8; Q59GY1; M4MD46; A0A0A7C8U6; A0A0A7CA89; A0A0A7C7G8; Q30215; Q67AP4; O19622; H0Y5P2; Q30027; A0A0D6K9C8; A0A0A7C7K6; Q861A1; A0A0E3DDD5; A0A0A7CA82; W5REE2; A0A0A7C9J5; A0A0A7C8A7; Q9MYE0; Q860Z6; I2B1C4; A0A0A7C7F8; A0A0A7C841; Q49U60; Q30059; H2A0A5; Q29789; Q06654; A0A0A7C882; A0A0E3DCM2; Q67AQ1; A0A0A7C8N6; A0A0A7C7A9; X5LU29; A0A024F8R0; H2A3H7; A0A0A7C6S3; A0A0A7C9R1; Q5Y7E0; A0A0E3DDY1; A0A0A7C9D1; A0A0A7C5T4; Q49U44; A0A0A7C6L5; A0A0A7C755; Q67AP9; Q67AP5; A0A0A7C5H6; A0A0A7C9C5; C8ZLH7; Q67AN8; A0A076J9C2; I4EC15; E0Z0A8; A0A068Q8C6; Q30058; A0A0A7C5X1; O19701; A0A0D6K9C3; A0A0A7C5R9; A0A0A7C893; Q9TQ60; L8BT22; L0BXX2; E5AXX6; Q30040; A0A0A7C7J1; A0A0A7C7H2; A0A0C5K8B7; A0A0A7C5K5; H6V6L0; A0A0A7CA24; A0A0A7C8F1; Q06663; K0P2W9; Q49U56; A0A0A7CAE2; S6BVN6; D0EV54; X5MNS0; X5MBG9; Q67AP3; A0A0A7C9L8; A0A0A7C5U5; Q31642; G9HTG4; V5JAP3; Q49U66; A0A0A7CA52; A0A0A7C5F3; A0A0A7C9X7; A0A0E3DDX1; A0A0A7C7E2; Q9TQD6; A0A0A7C6F7; A0A0A7C8R0; Q67AT3; R9RUZ7; A0A0A7C960; A0A0A7CA74; Q30048; A0A0A7CA72; A0A0A7CA00; A0A0A7C5R2; A0A0A7C655; A0A0A7C646; O19699; A0A0A7C9U1; A0A0E3DDV3; A0RZG0; A0A0E3DCK3; A0A0A7C8N5; Q30035; A0A0A7C8Q4; A0A0A7C8I2; Q95IE3; Q49U48; U3PQS9; Q2F6I0; Q860Z4; A0A0A7C5I6; Q30019; A0A0A7C9Y0; A0A0G2JPG4; Q67AR3; A0A0A7C625; Q49U36; D2ECD5; Q67AP6; Q7YQ09; A0A0D6K966; A0A0A7C8A2; A0A0A7C8U2; A0A0A7C5V2; Q30141; A0A0A7C768; W8FPB7; Q30137; A0A0A7C7J5; Q67AQ3; K0JCD0; A0A0F6R9J4; A0A0D6K9K3; A0A0A7C866; A0A0A7C954; A8CKH4; I4EC22; A0RZF7; A0A0A7C6Q7; L8B8W7; A0A0A7C8Q6; N0A4F7; N0A2U5; Q5TJ21; B5ABX7; I2E6J3; A0A0A7C9H4; UPI0005D01025; A0A0A7C5P4; A0A0A7C7C3; Q95462; A0A0A7C895; Q30013; D7RIH0; A0A0A8R956; Q49U50; A0A0A7C9X2; A0A0A7C8G0; A0A0A7C5H7; A0A0A7C5F8; Q8MH49; Q29972; Q29971; A0A0A7C851; S4T726; Q30012; A0A0A7C913; A0A0A7C9L0; Q8SNB6; Q29893; A0A0A1TTQ1; H0Y7G7; A0A0A7C658; Q30022; I4EC19; O19628; Q49U30; Q30023; U3PSS2; Q9BCT1; U3PUP3; Q49U42; Q9UIN4; V5JA11; A0A0A7C705; A0A0A7C9C4; A0A0A7C6J8; D0EV56; Q3LTJ7; Q9BD36; U3PXU4; UPI0005D0023D; Q30043; Q4U4M5; U3PSR8; A0A0A7C5W1; P04440; Q49U58; O19791; A0A0A7C9E5; A0A0A7C9W8; A0A0A7C6G4; Q8SND2; A1YAC1; Q30060; A0A0A7C694; I4EC21; A0A0A7C996; A0A0A7C5M1; A0A090A1W2; C9DA77; A0A0E3DDX3; A0A0E3DDW7; A0A0E3DDV1; Q9TQ59; B5U8B5; Q9BCT3; A0A0A7C943; A0A0A7C5E8; U3PXT8; A0A090K6G0; A0A0E3DDH2; E0WMV6; S0F0N0; A0A0A1TE54; A0A0A7C9Z4; A0A0E3DCM7; A0A0A7C5C4; Q49U34; S6B261; A0A0A7C8W9; Q67AT0; Q67AS6; L0BXH6; A0A0A7C5N2; N1NVB0; A0A0A7C5M5; E9M4N7; A0A0A7C6T9; A0A0A7C6S7; Q30036; A0A0A7C722; A0A0A7C9Y7; Q30148; A0A0A0WC94; Q67AR9; A0A0A7C8S3; R4QIT5; X5MI12; V5JAD8; X5MFD4; Q49U32; A0A0A7C5H0; A0A0E3DDY2; O19686; S4T6S5; A0A0D6E116; Q67AS7; A0A0A7C5U7; A0A0A7C8V4; A6MWD7; A0A0A7C6P8; Q67AP8; A0A0A7C787; A0A0A7C6I1; W5RED3; R4TPV8; A0A0E3DDF1; A0A0A7C665; A0A0A7C916; A0A0A7C832; A0A0A7C5E6; A0A0A7C6T5; Q67AN5; Q95385; A0A0A7C6L1; S0F159; O19726; A0A0A7C7G4; Q29683; A0A0A7C8W2; A0A0A7C8Y1; A0A0E3DDH8; Q9BD12; Q31619; B9W6F8; Q67AN7; UPI00024CE241; A0A0A7C6W7; Q67AQ2; A0A0A7C9A2; Q49U62; A0A0A7C875; S6B6Q1; A0A0E3DDF0; A0A0A7C5P6; Q67AQ5; Q30136; A0A0A7C6Y9; A0A0A7C5B0; A0A0A7C8G9; A0A0A7C5D6; A0A0E3DDG1; Q67AN9; Q49U40; A0A0A7C558; A0RZF9; F8STB2; A0A0A7C9Z8; Q49U52; Q30030; Q9BCR1; A0A0E3DDE7; Q67AT7; Q9TP67; A0A0A7C574; Q5EP54; A0A0A7CA04; Q30107; F4NBL4; U3PUP7; U3PQT4; A0A0A7C6V7; Q9BD26; S6BVK7; A0A0D6K963; Q29804; D1H103; Q30106; Q49U54; A0A0A7C568; A0A0E3DDX9; U3PRP5; A0A0G2JPR5; X5CKA9; A0A0A7C8W5; Q67AQ0; Q67AQ4; Q860Z5; S4T6N5; D7GK31; A0A0A7C9D0; A0A0A7C5I1; Q70GM2; A0A0A7C6D4; A0A0E3DCV2; G9DBH3; Q2YHL2; T2KSN6; S4T728; A6MAJ8; A0A0A7C9S0; Q30138; Q7YPT7; Q30056; N1NTB2; A0A0A7C9Z7; V9N339; A0A0A7C9D7; A0A0A7CAD9; Q30038; Q30042; A0A0A7C5X6; A0A024F9V3; U3PSS5; Q49U46; A0A0A7C8D2; Q2A128; W5REC3; A0A0E3DCN5; A0A0A7C5H2; Q29670; Q860Z9; Q67AS5; Q5EP48; U3PRN8; Q30021; A0A0A7C8F9; A0A0A7C8K0; A0A0A7C847; A0A0A7C554; A0A0E3DDX0; E9NVG1; A0A0A7C898; A0A0A7C6F9; A0A0D6K9L6; R4QTB2; X5MNT1; W0GCL0; X5D2T4; Q29956; E1V2J6; A0A0A7C6B3; Q67AN6; E9NVG9; A0A0A7C964; A0A0A7C5N9; A0A0A7C583; U3PXU1; Q9BCT2; Q05853; A0A0A7C9V6; Q67AS1; S4T6S0; Q67AT5; A0A0E3DDE1; Q30041; A0A0A0WDY3; A0A0A7C9Q7; W5REC2; A8K7H1; A0A0A7C732; A0A0A7C5B4; A0A0D6K9K5; I2FL84; A0A0A7C5Q1; Q861A0; A0A0A1TJL7; A0A0E3DCS5; Q67AS4; Q68V11; F8TVY1; A0A0A7C9C2; A0A0E3DDX5; Q9BCN9; A0A0A0WDZ3; O19728; Q30017; A0A0G2JKW5; H8WV65; Q29901; A0A0A7CAD4; Q49U64; F1CT76; I4EC18; A0A0A7C9Y1; A0A0E3DCR1; A0A0A7C562; Q30020; A0A0A7C8Y8; Q67AP1; S4T765; A0A0A7C566; Q49U72; I4EC17; X5CF76; H2A3P4; A0A0E3DCV6; Q30046; A0A0A7C5I7; A0A0A7C5R5; Q30009; A0A0A7C7L1; Q67AN4; Q67AN3; A0A0A7C749; A0A0E3DCT0; A0A0A1TST9; A0A0A7C596; A0A0A7C8C3; F5CSM5; A0A0A7C585; Q29774; A0A0A7CA96; A0A0A7C541; Q8HWG3; Q30016; A0A0A7C884; A0A0A7CA78; Q95IE4; A0A068Q8E6; A0A0A7C9Q3; Q30214; A0A0A7C763; A0A0A7C810; Q30044; A0A0A7CA03; A0A0D6K9C6; A0A0A7C8T5; W1I840; A0A0A7C8E5; D2ECG1; A0A0A7C6Z5; A0A0A7C6S0; A0A0A7C5X0; Q30026; A0A0A7C595; Q9BCR2; S4T6V7; Q30109; A0A0A7C569; A0A0D6K951; A0A0A7C8R8; Q49U28; S6B6U4; Q95IE9; A0A0A7C4U3; Q67AP2; W5RED2; A0A0E3DDW9; Q6WIG6; A0A0E3DDT7; X5LKC7; UPI00024CE197; B2NJ34; A0A0E3DCJ6; A0A0A7C8I6; A0A0A7C9Y6; A0A0A7C8A6; A0A0A7C939
UniRef50_Q8WUG5	Q8WUG5
UniRef50_A4D0Q7	A4D0Q7
UniRef50_Q9H1L0	Q9H1L0
UniRef50_P56975-3	UPI0005CFF9AC; D9ZHQ2; D9ZHQ5; D9ZHQ7; D9ZHP8; D9ZHP9; D9ZHQ6
UniRef50_Q9UJ70	Q9UJ70-2; C9JEV6; E9PPU6; H7C286; H0YE82; UPI0004F0C2EB; Q9UJ70; UPI0002743634
UniRef50_P17302	P17302; B4DMC9; Q53FJ6; B4DN50
UniRef50_P51843	A6NNU8; F1D8P4; P51843; P51843-2; UPI000333CAD3; Q16392
UniRef50_UPI0005D0059F	
UniRef50_P97434-5	Q6WCQ1-3; J3KSW8
UniRef50_Q6YBV0	UPI0003EB0367; Q6YBV0-2; UPI0003EAF1BF; E9PID7; Q6YBV0; E9PN09; UPI000387BF79
UniRef50_Q92623	Q92623; A0A024R6B1
UniRef50_Q9NNX1	B7Z4Y1; Q53FX0; B7Z688; Q9NNX1
UniRef50_Q7Z4N2	A0A024R209; A0A024R212; H0YKU7; Q7Z4N2-3; A0A0G2JPN6; H9FL14; H9FL13; A0A0G2JN34; Q7Z4N2; Q7Z4N2-4; A0A0A0MTQ9; A0A0A0MTR0; Q7Z4N2-2; A0A0G2JMR4; Q7Z4N2-5; A0A0G2JMJ5
UniRef50_Q5H9U9-2	
UniRef50_E9PJD0	E9PJD0
UniRef50_Q9JI51	
UniRef50_Q59FZ2	Q59FZ2
UniRef50_H7BZZ6	H7BZZ6
UniRef50_G1R6D0	Q3C1W5
UniRef50_A0A096NYN3	
UniRef50_O15551	Q75L79; O95484; H2R590; O15551; G3S2W1
UniRef50_Q6MZR8	Q6MZR8
UniRef50_H2NF90	E9PKH4
UniRef50_A1YZL3	A1YZL3; A1YZL0
UniRef50_L8E8J1	L8E8J1
UniRef50_Q9HAT2	Q9HAT2; UPI0005D00BD4; Q9HAT2-2
UniRef50_P12931	P06241; B2RA70; G7MQQ6; H2QTK7; P12931; A0A096NW74; G7P3M8; J3QRU1; G1TA73; P07947; K7B763; H2QE70; A0A0D9RST7; UPI0002744A22
UniRef50_F5GYQ6	F5GYQ6
UniRef50_H0YFU0	H0YFU0
UniRef50_H0Y9R7	H0Y9R7
UniRef50_E9PKU9	E9PKU9
UniRef50_G1SBK9	Q8WZ40
UniRef50_Q9BVG9	Q9BVG9; A0A024RC97; UPI0000488021; UPI000387CB25; E9PS47
UniRef50_H0YK20	H0YK20; H0YKX5
UniRef50_F8WDR4	F8WDR4
UniRef50_P10255	A8K486; B2RE56
UniRef50_F6YI76	
UniRef50_Q9ULV5	A0A024R6X7; Q9ULV5
UniRef50_Q5BKX5	Q6ZWG5; UPI000387DEB0; Q5BKX5
UniRef50_F7I662	Q69YW1
UniRef50_Q8WZ31	Q8WZ31
UniRef50_D6REJ3	D6REJ3
UniRef50_A0A087WZ99	A0A087WZ99
UniRef50_F7E775	B3KPN9
UniRef50_Q6ZPB6	Q6ZPB6
UniRef50_Q6WG67	Q6WG67
UniRef50_A4D250	A4D250
UniRef50_H7C3E3	H7C3E3
UniRef50_A0A096NZD8	
UniRef50_Q91V51	UPI0000E25B89; H2P4N4; UPI000273E406; UPI0001D61A04; O95922; B3KTT1; H2QLU6; A0A024R4U6; UPI000002B663
UniRef50_K7EQ66	K7EQ66
UniRef50_Q9BZI0	Q9BZI0
UniRef50_Q76G19	B3KW03; Q17RL8; UPI00057BA4BD; D3DWW0; Q76G19
UniRef50_C9JX80	C9JX80; C9J9H5; UPI00062A814D
UniRef50_B1AP38	B1AP38
UniRef50_Q8WVE6	Q8WVE6
UniRef50_A6NFA0	A6NFA0
UniRef50_D6RB18	D6RB18
UniRef50_P60507	P60507
UniRef50_F1T0K1	F1T0K1
UniRef50_G3W4Q3	Q5H937
UniRef50_Q9R100	Q12864; E5RJT3; B2R778
UniRef50_Q13795	G1RGL5; Q13795; A0A096NN52; B7ZKY8; Q5R579; A0A0D9RVM9; Q13795-2; B3KTR4; Q13795-3; G7PFH4; UPI00045D98C1; G3QQ42; G7N417; H9FNH2
UniRef50_B7Z796	B7Z796
UniRef50_Q29292	Q9BVB1; Q59G35
UniRef50_C9IYI6	C9IYI6
UniRef50_UPI0005D02294	
UniRef50_E9PQK6	E9PQK6
UniRef50_Q9HBH2	Q9HBH2
UniRef50_Q9HAP1	Q9HAP1
UniRef50_Q6P5F6	H2QJ63; E7ENT5; Q9ULF5; A0A024R3W5; C9J0F5; Q9ULF5-2; E7EV45; Q8NC35; UPI000511BC3E
UniRef50_H7C268	H7C268
UniRef50_H3BMQ9	H3BMQ9
UniRef50_B4DVN6	B4DVN6
UniRef50_F8W1Y1	F8W1Y1
UniRef50_K7EQG8	K7ENA5; K7EQG8
UniRef50_L8E8W4	L8E8W4
UniRef50_J3QL61	J3QL61
UniRef50_H2U1J3	B4DSJ6
UniRef50_P13716-2	Q6ZMU0; B7Z3I9
UniRef50_P62760	A0A091HL12; F7AZV3; F2Z5E8; G1U0A2; G7MG96; UPI00044353FD; Q4W4C9; M3WUY2; A0A091HKB9; U6DXF6; G1QLM9; A0A096N8T0; J9P575; G7PLN2; H0UUN1; M3W560; F6YXV9; G7N9F6; U3JGJ9; Q5RD22; A0A0D9R6D7; A0A087QH62; G3TG43; P29104; L8ITW9; A0A087V7R2; A0A091V0R9; A0A093HXC2; UPI00045D5F15; Q9UM19; A0A0A0AJB0; B5G0J4; G9KXH7; W5QFS9; G3HGM8; W5Q515; H2PYR0; P62761; K9IGE1; G5C4Y8; P62763; A0A091F8W0; A0A093NEE5; L8J5S6; A0A091WCY6; G5AZB5; A0A093F0J8; Q4ZFX3; S7NME7; D2H0L4; F2Z5V9; G1NMM0; E7ER47; Q5R6S5; A0A094K9A5; A0A091JD08; A0A093HDK0; UPI0005AC9134; H0Y176; P62764; E9PE24; A0A096N6T1; H0UYK8; I3MFH5; F7EVU1; A0A099Z457; A0A091G5X4; A0A093QT00; A0A0D9S7P3; P62762; H2QHG8; G7NUC4; P62760; G3SAH9; A0A091SIJ3; F7BI34; L5LL21; F6W6H3; G1Q5B5; M3YQC8; Q4R5F7; R0LSH5
UniRef50_Q9NRY7	C9J636; Q9NRY7; Q9NRY7-1
UniRef50_K7HRP0	F8WCR1
UniRef50_K7EQC2	K7EQC2; K7EN53
UniRef50_G3V1A9	G3V1A9
UniRef50_A0A087WX01	A0A096LPK3; A0A087WVG5; A0A087WX01
